,country,article_name,revision_id,article_quality_est.,population
36,Chad,Kalthouma Nguembang,762816132,-1,16877000
534,Canada,Pierre-Luc Paquette,708813010,-1,38190000
568,Canada,James H. Stuart,715457941,-1,38190000
598,Canada,René Matteau,723308478,-1,38190000
602,Canada,David J. Reimer,724052271,-1,38190000
627,Canada,Marcel Hatch,738514517,-1,38190000
721,Canada,Lennox Farrell,764019224,-1,38190000
989,Canada,Dan Hilton,797311794,-1,38190000
1066,Canada,Darcie Lanthier,798952867,-1,38190000
1190,Canada,David Sparrow,803784385,-1,38190000
1378,Egypt,Mahmoud Karem,745915558,-1,100803000
1402,Egypt,Khaled Negm,774023957,-1,100803000
1558,Egypt,Mohammed Naguib,806372496,-1,100803000
1581,Pakistan,Mohammad Amjad,699260156,-1,220940000
1604,Pakistan,Bakhtiar Mahmud Kasuri,717927381,-1,220940000
1609,Pakistan,Malak Zmarak Khan Mandokhail,720688837,-1,220940000
1611,Pakistan,Shabbir Ahmad Rao,721106120,-1,220940000
1634,Pakistan,Mahesh Kumar Malani,730950147,-1,220940000
1669,Pakistan,Diyar Khan Yaqubi,754739349,-1,220940000
1680,Pakistan,Ahmad Balal,757961591,-1,220940000
1681,Pakistan,Saifuddin Bohra,758706289,-1,220940000
1697,Pakistan,Muhammad Yar Khan Mandokhail,771642775,-1,220940000
1731,Pakistan,Chaudhry Zafar Iqbal Warraich,779954797,-1,220940000
1734,Pakistan,Rana Assad Amin,779957437,-1,220940000
1761,Pakistan,Mian Fareed Abbas Kathia,787181453,-1,220940000
1762,Pakistan,Abdul Latif Khalid Cheema,787398581,-1,220940000
1796,Pakistan,Mahesh Kumar,788310383,-1,220940000
1864,Pakistan,Saqib Idrees Taj,789285351,-1,220940000
1870,Pakistan,Hameeda Waheeduddin,789285762,-1,220940000
2045,Pakistan,Fraz Wahlah,795588781,-1,220940000
2132,Pakistan,Raja Muhammad Akbar Khan,799880073,-1,220940000
2319,Pakistan,Bashir Ahmed Sarki,800574730,-1,220940000
2413,Pakistan,Secular and Nationalist Jinnah,801536406,-1,220940000
2430,Pakistan,Ali Asghar Khan (politician),802148439,-1,220940000
2643,United States,Wells–Bennett–Grant family,720164068,-1,329878000
2645,United States,Kimball–Snow–Woolley family,720356159,-1,329878000
2688,United States,Woman's National Democratic Club,735966681,-1,329878000
2780,United States,Elisha Shapiro,763558111,-1,329878000
2841,United States,Walter Lee (Louisiana politician),772176512,-1,329878000
2843,United States,Mark M. Noble,772567736,-1,329878000
2874,United States,Larry Holmes (activist),778388481,-1,329878000
2982,United States,Arthur C. Watson,789816636,-1,329878000
3013,United States,Bill Evans (politician),791429003,-1,329878000
3017,United States,Claybourn – Claiborne – Clayborn family,791866288,-1,329878000
3027,United States,Caleb Crosby,792857662,-1,329878000
3069,United States,Josh Miller (politician),794768894,-1,329878000
3157,United States,Stanford Morse,796758810,-1,329878000
3215,United States,Jesse Spikes,798615865,-1,329878000
3267,United States,Norm Wolfinger,799300265,-1,329878000
3295,United States,Rich Eychaner,799933274,-1,329878000
3301,United States,Craig Huey,800144885,-1,329878000
3304,United States,Donald Jeffrey Large,800299837,-1,329878000
3383,United States,List of politicians on Veep,802302246,-1,329878000
3425,United States,Kevin Hardwick,803484030,-1,329878000
3487,United States,Dudley–Winthrop family,804791599,-1,329878000
3516,United States,Larry A. Kaczala,804941978,-1,329878000
3524,United States,William M. Rainach,804945338,-1,329878000
3534,United States,David J. Dwork,804946658,-1,329878000
3545,United States,Ron Crickenberger,805031334,-1,329878000
3559,United States,Richards–Young family,805211553,-1,329878000
3575,United States,Dennis Shea (lawyer),805517427,-1,329878000
3586,United States,Political positions of Pat Buchanan,805788048,-1,329878000
3620,United States,Phillip Jackson,806403304,-1,329878000
3664,United States,Dirtbag Left,807161510,-1,329878000
3707,India,Book:Two Political Biographies,636911471,-1,1400100000
3721,India,Book:Indian Politicians,708482569,-1,1400100000
3785,India,Pranab Basu,740126873,-1,1400100000
3892,India,Rajat Majumdar,768871687,-1,1400100000
3956,India,Debojeet Thaosen,778618827,-1,1400100000
4065,India,Rahul Sinha,788289620,-1,1400100000
4105,India,Vithal Chavan,788722110,-1,1400100000
4205,India,Prasanna Earnest,789444415,-1,1400100000
4211,India,Chowdhary Balbir Singh,789736824,-1,1400100000
4256,India,N. Padmalochanan,792184018,-1,1400100000
4262,India,Praveen Agrawal,792440851,-1,1400100000
4371,India,Ramesh Chander Bidhan,798841317,-1,1400100000
4377,India,V. Sadasivan,799263010,-1,1400100000
4394,India,Abhimanyu Rao,800233652,-1,1400100000
4441,India,Ambedkarism,801563949,-1,1400100000
4529,India,Kampa Borgoyary,804158476,-1,1400100000
4690,India,Ajay Kannoujiya,807484325,-1,1400100000
4698,Philippines,Floydelia Diasen,711224007,-1,109581000
4716,Philippines,Edison Rey Batiquin,719342595,-1,109581000
4721,Philippines,Talib Garingan Pawaki,719581803,-1,109581000
4806,Philippines,Roy Chiongbian,753191526,-1,109581000
4915,Philippines,Ina Ambolodto,779409209,-1,109581000
4964,Philippines,Farouk Sharif,790028876,-1,109581000
5160,Philippines,Rajah Alon,806179522,-1,109581000
5170,Philippines,Rajah Gambang,806695084,-1,109581000
5199,Philippines,King Gutierrez,807479587,-1,109581000
5200,Poland,List of politicians in Poland,516633096,-1,38368000
5205,Poland,Robert Sych,684023803,-1,38368000
5206,Poland,Marek Krzysztof Jeleniewski,684023859,-1,38368000
5277,Poland,Łukasz Kowalski,712872338,-1,38368000
5278,Poland,Blanka Olszewska,712872421,-1,38368000
5279,Poland,Janusz Jerzy Drozdalski,712872473,-1,38368000
5280,Poland,Piotr Michał Trzaska,712872531,-1,38368000
5281,Poland,Anna Teresa Piórkowska,712873183,-1,38368000
5282,Poland,Edward Ignacy Hartwich,712873308,-1,38368000
5283,Poland,Lech Andrzej Zagłoba-Zygler,712873386,-1,38368000
5286,Poland,Elżbieta Teresa Rusielewicz,712878000,-1,38368000
5287,Poland,Adam Wojciech Fórmaniak,712878267,-1,38368000
5288,Poland,Zbigniew Józef Sobociński,712878343,-1,38368000
5289,Poland,Bernadeta Aldona Różańska-Majchrzak,712878396,-1,38368000
5290,Poland,Jarosław Wenderlich,712881543,-1,38368000
5291,Poland,Ewa Joanna Starosta,712881676,-1,38368000
5292,Poland,Stanisław Grodzicki (politician),712881741,-1,38368000
5293,Poland,Tadeusz Mirosław Kondrusiewicz,712881882,-1,38368000
5295,Poland,Wojciech Hieronim Nowacki,712889562,-1,38368000
5296,Poland,Jacek Rosół,712889594,-1,38368000
5297,Poland,Tomasz Jan Rega,712889683,-1,38368000
5298,Poland,Marek Henryk Gralik,712889781,-1,38368000
5299,Poland,Michał Piotr Sztybel,712889809,-1,38368000
5300,Poland,Jacek Andrzej Bukowski,712891291,-1,38368000
5301,Poland,Kazimierz Drozd,712891354,-1,38368000
5302,Poland,Lech Stanisław Lewandowski,712891378,-1,38368000
5303,Poland,Felicja Gwincińska,712891476,-1,38368000
5515,Poland,Jacek Maciej Wenderlich,779101752,-1,38368000
5939,Poland,Maciej Filip Zegarski,802765034,-1,38368000
6068,Germany,Friedrich Peus,719521006,-1,83300000
6071,Germany,Christian Raster,720054719,-1,83300000
6085,Germany,Max Adolf Richter,721509220,-1,83300000
7448,Hungary,Tibor Gaal de Hatvan,793280504,-1,9767000
7495,Hungary,Vasyl Stefanyk,800802122,-1,9767000
8226,Vanuatu,Tingtingru,550682925,-1,321000
8236,Vanuatu,Wanmelbu,749326717,-1,321000
8290,Iran,Khanzahi,696608092,-1,84150000
8302,Iran,Shah Seyyed Ali Kazemi,713368646,-1,84150000
8310,Iran,Kasra Nikzad,720959757,-1,84150000
8394,Iran,Roozbeh Farahanipour,765489047,-1,84150000
8423,Iran,Sheikh Zakaria Ansari,771213598,-1,84150000
8462,Iran,Batul Soltani,782170063,-1,84150000
8512,Iran,Abdolmajid Pirzadeh Jahromi,787391918,-1,84150000
8532,Iran,Amirreza Amirbakhtiar,788884593,-1,84150000
8849,Iran,Morteza Kazemian,799036953,-1,84150000
9065,Iran,Hossein Khan Movaghar,805936041,-1,84150000
9067,Iran,Ali Asghar Mousapasandi,805970954,-1,84150000
9101,Iran,Jalal Movaghar,807367030,-1,84150000
9102,Iran,Mohsen Movaghar,807367166,-1,84150000
9116,Malta,Guglielmo Rapinett,719981739,-1,522000
9189,Malta,Michael Briguglio,801566979,-1,522000
9218,Spain,Gomez das Mariñas,703773782,-1,47635000
9289,Spain,Constantino Salinas,720924221,-1,47635000
9583,Spain,Mariano Lazcano,786721553,-1,47635000
9735,Spain,Fernando Linera,789080627,-1,47635000
9785,Spain,Idoia Zenarrutzabeitia Beldarrain,790147995,-1,47635000
10153,Ghana,Obuobia Darko-Opoku,764911200,-1,31073000
10159,Ghana,Emmanuel Odoi Lartey,765228329,-1,31073000
10345,Ghana,List of Ghana heads of state by age,794866848,-1,31073000
10539,Tanzania,Mgeni Jadi Kadika,738480520,-1,59734000
10957,United Arab Emirates,Yousef Al Omeir,746758535,-1,9778000
10963,United Arab Emirates,Saleh Al Shal,760194556,-1,9778000
10981,United Arab Emirates,Abdullah bin Mohammed Al Thani,798865216,-1,9778000
10990,United Arab Emirates,Rashid bin Humaid Al Nuaimi (Ajman),801638735,-1,9778000
11135,China,Gu Jinchi,720953589,-1,1402385000
11634,China,Zhang Yuhuan,789281061,-1,1402385000
11640,China,Zheng Shekui,789286413,-1,1402385000
11889,China,Ouyang Xiu,801835819,-1,1402385000
12706,Croatia,Emil Ragazzini,720993927,-1,4020000
12725,Croatia,Leonardo Dudan,748601806,-1,4020000
13317,Russia,Vladimir Shamakhov,710311600,-1,146733000
13475,Russia,Nikolay Baranov (politician),761821348,-1,146733000
13807,Russia,Gregorei Alexandrovich,794409906,-1,146733000
14278,South Africa,Francois Willie Cloete,764191934,-1,59628000
14587,Finland,Panu Laturi,711288191,-1,5529000
15107,Afghanistan,Daud Arsala,627547024,-1,38928000
15117,Afghanistan,Hazrat-U-Din,710715953,-1,38928000
15380,Afghanistan,Ezatullah Mujahid,802515929,-1,38928000
15767,United Kingdom,Francis Phips,720856841,-1,67160000
15885,United Kingdom,Phil Hobson,774293013,-1,67160000
16233,United Kingdom,Kevin Malcolm Everett,798945915,-1,67160000
16304,United Kingdom,Anwara Ali,801306872,-1,67160000
16334,United Kingdom,Abhijit Pandya,801696196,-1,67160000
16416,United Kingdom,Lib Peck,804697858,-1,67160000
16449,United Kingdom,Ian Axton,805420467,-1,67160000
16579,United Kingdom,John Rose (Trotskyist),807336308,-1,67160000
