,country,article_name,revision_id,article_quality_est.,population
0,Chad,Bir I of Kanem,355319463,Stub,16877000
1,Chad,Abdullah II of Kanem,498683267,Stub,16877000
2,Chad,Salmama II of Kanem,565745353,Stub,16877000
3,Chad,Kuri I of Kanem,565745365,Stub,16877000
4,Chad,Mohammed I of Kanem,565745375,Stub,16877000
5,Chad,Kuri II of Kanem,669719757,Stub,16877000
6,Chad,Bir II of Kanem,670893206,Stub,16877000
7,Chad,Mahamat Hissene,693055898,Stub,16877000
8,Chad,Othman I,705432607,Stub,16877000
9,Chad,Alphonse Kotiga,707593108,Stub,16877000
10,Chad,Oueddei Kichidemi,708346649,Start,16877000
11,Chad,Dunama I,710675092,Stub,16877000
12,Chad,Ahmad (Kanem-Bornu king),711388267,Stub,16877000
13,Chad,Djibrine Kerallah,712971263,Stub,16877000
14,Chad,Maurice Ngangtar,712971315,Stub,16877000
15,Chad,Idriss Miskine,712971738,Stub,16877000
16,Chad,Laoukein Kourayo Médard,716886170,Stub,16877000
17,Chad,Nadji Madou,716886788,Stub,16877000
18,Chad,Noël Milarew Odingar,716891799,Start,16877000
19,Chad,Yaya Dillo Djérou,717733209,Stub,16877000
20,Chad,Acheikh Ibn-Oumar,719821590,Start,16877000
21,Chad,Quatre Sou Quatre,720066754,Stub,16877000
22,Chad,Ali Gazi,722563340,Stub,16877000
23,Chad,Mahamat Djarma Khatir,725132042,Stub,16877000
24,Chad,Dunama IX Lefiami,731749611,Stub,16877000
25,Chad,Dawud of Kanem,736550266,Stub,16877000
26,Chad,Ahmed Koulamallah,738855197,Start,16877000
27,Chad,Abbo Nassour,741369486,C,16877000
28,Chad,Abdel Kader Baba-Laddé,742213176,Stub,16877000
29,Chad,Hummay,747271475,Stub,16877000
30,Chad,Ngarlejy Yorongar,751304544,C,16877000
31,Chad,Saleh Kezabo,751380073,Stub,16877000
32,Chad,Bourkou Louise Kabo,757072468,Start,16877000
33,Chad,Brahim Koulamallah,757802238,Stub,16877000
34,Chad,Saadie Goukouni Weddeye,757842614,Start,16877000
35,Chad,Mahamoud Adam Béchir,762579466,Start,16877000
37,Chad,Djidingar Dono Ngardoum,764133533,Stub,16877000
38,Chad,Youssouf Saleh Abbas,771052289,C,16877000
39,Chad,Koibla Djimasta,774223245,Start,16877000
40,Chad,Nassour Guelendouksia Ouaido,774223248,C,16877000
41,Chad,Joseph Brahim Seid,777478442,Stub,16877000
42,Chad,Joseph Yodoyman,777550078,Start,16877000
43,Chad,Antoine Bangui,782638002,Start,16877000
44,Chad,Ibrahim IV of Bornu,785614014,Stub,16877000
45,Chad,Hadjé Halimé,786449636,C,16877000
46,Chad,Youssouf Togoïmi,787390241,Start,16877000
47,Chad,Adoum Younousmi,787719236,Start,16877000
48,Chad,François Tombalbaye,787738541,C,16877000
49,Chad,Ahmat Hassaballah Soubiane,787910771,Stub,16877000
50,Chad,Ahmad Allam-Mi,787921293,Start,16877000
51,Chad,Laotegguelnodji Koumtog,788009613,Stub,16877000
52,Chad,Mahamat Ali Adoum,788014671,Start,16877000
53,Chad,Mahamat Saleh Annadif,788658822,Start,16877000
54,Chad,Mohamed Bechir-Sow,788827248,Stub,16877000
55,Chad,Gontchomé Sahoulba,788828388,Start,16877000
56,Chad,Gabriel Lisette,788828519,Start,16877000
57,Chad,Ali II of Bornu,788999424,Stub,16877000
58,Chad,Arabi El Goni,789126126,Stub,16877000
59,Chad,Dunama Dabbalemi,789935196,Start,16877000
60,Chad,Idris Alooma,792734868,Start,16877000
61,Chad,Mahamat Nouri,792954115,B,16877000
62,Chad,Idriss Ndele Moussa,796654025,Stub,16877000
63,Chad,Mbaydoum Simeon,796690873,Stub,16877000
64,Chad,Ngarindo Milengar,796700718,Stub,16877000
65,Chad,List of Prime Ministers of Chad,797747674,Start,16877000
66,Chad,Idriss Déby,798286150,C,16877000
67,Chad,Saleh Kebzabo,798626040,C,16877000
68,Chad,Moussa Faki,799043301,C,16877000
69,Chad,Kalzeubet Pahimi Deubet,799413193,Stub,16877000
70,Chad,Haroun Kabadi,799447895,Start,16877000
71,Chad,Nagoum Yamassoum,799447995,Start,16877000
72,Chad,Outel Bono,799448338,Start,16877000
73,Chad,Ahmat Acyl,799902492,C,16877000
74,Chad,Djimrangar Dadnadji,800133552,Start,16877000
75,Chad,Delwa Kassiré Koumakoye,801029539,C,16877000
76,Chad,Fidèle Moungar,801192255,C,16877000
77,Chad,Jean Alingué Bawoyeu,801192303,B,16877000
78,Chad,Emmanuel Nadingar,801573576,C,16877000
79,Chad,Roger Djikisna,801583221,Stub,16877000
80,Chad,Firmin Djidingar,801583260,Stub,16877000
81,Chad,Idris I of Kanem,802874918,Stub,16877000
82,Chad,Vice President of Chad,803166509,Stub,16877000
83,Chad,Hissène Habré,803166806,GA,16877000
84,Chad,Negue Djogo,803166989,Start,16877000
85,Chad,Wadel Abdelkader Kamougué,803167152,C,16877000
86,Chad,Félix Malloum,803167336,Start,16877000
87,Chad,Lol Mahamat Choua,803167424,C,16877000
88,Chad,Goukouni Oueddei,803167990,C,16877000
89,Chad,Albert Pahimi Padacké,803433107,C,16877000
90,Chad,List of heads of state of Chad,803812011,Start,16877000
91,Chad,Elise Loum,804773540,Start,16877000
92,Chad,Agnes Allafi,805493169,Start,16877000
93,Chad,Christine Georges Diguibaye,806337653,Stub,16877000
94,Chad,Pascal Yoadimnadji,806508985,Start,16877000
95,Chad,Aissa Koli,806616268,Start,16877000
96,Chad,Omar I of Kanem,807425129,Start,16877000
97,Palestinian Territory,Information Minister of the Palestinian National Authority,393276188,Stub,5008000
98,Palestinian Territory,Finance Minister of the Palestinian National Authority,596181202,Start,5008000
99,Palestinian Territory,Planning Minister of the Palestinian National Authority,633612729,Start,5008000
100,Palestinian Territory,Hossam Arafat (politician),680933208,Stub,5008000
101,Palestinian Territory,Tawfik Tirawi,701106976,Start,5008000
102,Palestinian Territory,Isam al-Qadi,706650943,Stub,5008000
103,Palestinian Territory,Hussein al-Araj,707669406,Stub,5008000
104,Palestinian Territory,Mohammad Barghouti,708269321,Stub,5008000
105,Palestinian Territory,Ahmed Khalidi,708495719,Stub,5008000
106,Palestinian Territory,Health Minister of the Palestinian National Authority,708817890,Stub,5008000
107,Palestinian Territory,Qais Abd al-Karim,709529097,Stub,5008000
108,Palestinian Territory,Mahmoud Aloul,709567584,Stub,5008000
109,Palestinian Territory,Victor Batarseh,709994434,Stub,5008000
110,Palestinian Territory,Hanna Nasser (academic),710133339,Start,5008000
111,Palestinian Territory,Anastas Hanania,710390049,Start,5008000
112,Palestinian Territory,Joudeh George Murqos,710676772,Stub,5008000
113,Palestinian Territory,Ali al-Sartawi,710990363,Stub,5008000
114,Palestinian Territory,Jamal Tirawi,712310215,Start,5008000
115,Palestinian Territory,Samir Abu Eisheh,713203735,Stub,5008000
116,Palestinian Territory,Sami Taha,713505054,Start,5008000
117,Palestinian Territory,Ayyub Musallam,714176771,Stub,5008000
118,Palestinian Territory,Hajj Essa Hamed,714181175,Start,5008000
119,Palestinian Territory,Hasan Tahboub,714208891,Stub,5008000
120,Palestinian Territory,Hanna Nasser,714586856,Stub,5008000
121,Palestinian Territory,Ghazi Hanania,715125381,Stub,5008000
122,Palestinian Territory,Amin Abd al-Hadi,716425885,Stub,5008000
123,Palestinian Territory,Samir Hulileh,717174805,Start,5008000
124,Palestinian Territory,Hatem Qafisha,717350346,Stub,5008000
125,Palestinian Territory,Nayef Rajoub,717907429,Stub,5008000
126,Palestinian Territory,Ghassan Shakaa,720225559,Stub,5008000
127,Palestinian Territory,Salim Zanoun,720541817,Stub,5008000
128,Palestinian Territory,Ahmad Bahar (Palestinian politician),725592476,Stub,5008000
129,Palestinian Territory,Umm Nidal,729635985,C,5008000
130,Palestinian Territory,Aref al-Dajani,730565205,Start,5008000
131,Palestinian Territory,Faed Mustafa,730612889,Stub,5008000
132,Palestinian Territory,Interior Minister of the Palestinian National Authority,734366909,B,5008000
133,Palestinian Territory,Samiha Khalil,737316891,Start,5008000
134,Palestinian Territory,Imil Jarjoui,738485209,Stub,5008000
135,Palestinian Territory,Abu Zakaria al-Jamal,740251014,Stub,5008000
136,Palestinian Territory,Mustafa al-Khalidi,740562507,Stub,5008000
137,Palestinian Territory,Samir Ghawshah,741240899,Start,5008000
138,Palestinian Territory,Fuad Kokaly,742810698,Stub,5008000
139,Palestinian Territory,Janet Mikhail,742930612,Stub,5008000
140,Palestinian Territory,Hind Khoury,744229617,Stub,5008000
141,Palestinian Territory,Saloum Cohen,744680083,Stub,5008000
142,Palestinian Territory,Ahmed Majdalani,745445418,Start,5008000
143,Palestinian Territory,Faidi al-Alami,746561126,Stub,5008000
144,Palestinian Territory,Arafat scarf,752269980,Stub,5008000
145,Palestinian Territory,Zuhir al-Qaisi,754951299,C,5008000
146,Palestinian Territory,Mohammed Shabir,754960024,Start,5008000
147,Palestinian Territory,Said Seyam,755358806,C,5008000
148,Palestinian Territory,Atef Adwan,756834998,Start,5008000
149,Palestinian Territory,Moussa Arafat,756836183,Start,5008000
150,Palestinian Territory,Khouloud Daibes,757565638,Start,5008000
151,Palestinian Territory,Nahid al-Rayyis,759387598,Start,5008000
152,Palestinian Territory,Rawhi Fattouh,760357919,Start,5008000
153,Palestinian Territory,Wasfi Kabha,760375386,Stub,5008000
154,Palestinian Territory,Omar Hammayil,760380012,Stub,5008000
155,Palestinian Territory,Mohammed Milhim,760380700,Stub,5008000
156,Palestinian Territory,Faisal Husseini,765742925,Start,5008000
157,Palestinian Territory,Haidar Abdel-Shafi,766784372,Start,5008000
158,Palestinian Territory,Nasser al-Shaer,766840809,Start,5008000
159,Palestinian Territory,Omar Abd al-Razaq,766847361,Stub,5008000
160,Palestinian Territory,Adnan al-Husayni,767482479,Stub,5008000
161,Palestinian Territory,Ziad Abu Amr,767881055,Start,5008000
162,Palestinian Territory,Ziad Abuzayyad,768374386,Start,5008000
163,Palestinian Territory,Azzam al-Ahmad,769135700,Stub,5008000
164,Palestinian Territory,Leila Shahid,769328020,Start,5008000
165,Palestinian Territory,Sharm El Sheikh Memorandum,771217707,Start,5008000
166,Palestinian Territory,Hussein al-Husayni,773002344,Start,5008000
167,Palestinian Territory,Riyad al-Maliki,773227993,Start,5008000
168,Palestinian Territory,Yasser Abed Rabbo,774821388,C,5008000
169,Palestinian Territory,Isra al-Modallal,775535912,Start,5008000
170,Palestinian Territory,Jamal Abu Samhadana,775898615,C,5008000
171,Palestinian Territory,Sufian Abu Zaida,776289919,Start,5008000
172,Palestinian Territory,Taysir Khalid,776386870,Stub,5008000
173,Palestinian Territory,Ibrahim Nassar,776831011,Start,5008000
174,Palestinian Territory,Anwar Khatib,777026878,Start,5008000
175,Palestinian Territory,Jamil Majdalawi,779034357,Stub,5008000
176,Palestinian Territory,Foreign Affairs Minister of the Palestinian National Authority,779105366,Start,5008000
177,Palestinian Territory,Rabiha Diab,779367907,Stub,5008000
178,Palestinian Territory,Ahmed Hilmi Pasha,782105397,C,5008000
179,Palestinian Territory,Majida Al-Masri,783041670,Stub,5008000
180,Palestinian Territory,Emil Ghuri,784373796,Stub,5008000
181,Palestinian Territory,Ali Jarbawi,784662302,Start,5008000
182,Palestinian Territory,Jamal al-Jamal,784977752,Start,5008000
183,Palestinian Territory,Jamal al-Husayni,785938135,B,5008000
184,Palestinian Territory,Musa al-Husayni,785938199,B,5008000
185,Palestinian Territory,Salim al-Husayni,785938222,Stub,5008000
186,Palestinian Territory,Mustafa Barghouti,787198183,C,5008000
187,Palestinian Territory,Abdel Hafiz Nofal,787385830,Start,5008000
188,Palestinian Territory,Zaki al-Ghul,787447130,Stub,5008000
189,Palestinian Territory,Oslo I Accord,787453135,C,5008000
190,Palestinian Territory,Adly Yaish,787691185,Stub,5008000
191,Palestinian Territory,Intissar al-Wazir,788004334,Start,5008000
192,Palestinian Territory,Muhammad Abu Tir,788019130,C,5008000
193,Palestinian Territory,"Palestinian general election, 1996",788023506,C,5008000
194,Palestinian Territory,Protocol Concerning the Redeployment in Hebron,788026998,C,5008000
195,Palestinian Territory,Yousef al-Khalidi,788159128,Stub,5008000
196,Palestinian Territory,List of mayors of Nablus,788189214,Stub,5008000
197,Palestinian Territory,Khalil al-Hayya,788437086,Stub,5008000
198,Palestinian Territory,President of the Palestinian National Authority,788509815,B,5008000
199,Palestinian Territory,Fathi Ahmad Hammad,788591724,Stub,5008000
200,Palestinian Territory,Abdullah Rimawi,788953220,GA,5008000
201,Palestinian Territory,Yahya Hammuda,788988278,Stub,5008000
202,Palestinian Territory,Hani al-Hassan,789228790,Start,5008000
203,Palestinian Territory,Bashir Barghouti,790695172,Start,5008000
204,Palestinian Territory,Bassam as-Salhi,790721748,Stub,5008000
205,Palestinian Territory,Khalida Jarrar,791881528,GA,5008000
206,Palestinian Territory,Kamel al-Budeiri,792611747,Start,5008000
207,Palestinian Territory,Zuheir Mohsen,792615206,C,5008000
208,Palestinian Territory,Abdel-Razak al-Yehiyeh,793718428,Start,5008000
209,Palestinian Territory,Abu Ali Mustafa,794170874,Start,5008000
210,Palestinian Territory,Salah Khalaf,794482018,C,5008000
211,Palestinian Territory,Kamal Nasser,795004000,Start,5008000
212,Palestinian Territory,Current members of Palestinian Legislative Council,795648388,Start,5008000
213,Palestinian Territory,Fathi Hamad,796124047,Start,5008000
214,Palestinian Territory,Musa Alami,796697881,C,5008000
215,Palestinian Territory,Palestinian Declaration of Independence,796911861,C,5008000
216,Palestinian Territory,Ahmad Kurd,796924085,Stub,5008000
217,Palestinian Territory,Amin al-Majaj,796961464,Start,5008000
218,Palestinian Territory,Aziz Duwaik,797021613,C,5008000
